id	sentiment	review
"5814_8",	1,	"stuff going moment mj ve started listening music watching odd documentary watched wiz watched moonwalker maybe want get certain insight guy thought really cool eighties maybe make mind whether guilty innocent moonwalker part biography part feature film remember going see cinema originally released subtle messages mj feeling towards press also obvious message drugs bad m kay visually impressive course michael jackson unless remotely like mj anyway going hate find boring may call mj egotist consenting making movie mj fans would say made fans true really nice actual feature film bit finally starts minutes excluding smooth criminal sequence joe pesci convincing psychopathic powerful drug lord wants mj dead bad beyond mj overheard plans nah joe pesci character ranted wanted people know supplying drugs etc dunno maybe hates mj music lots cool things like mj turning car robot whole speed demon sequence also director must patience saint came filming kiddy bad sequence usually directors hate working one kid let alone whole bunch performing complex dance scene bottom line movie people like mj one level another think people stay away try give wholesome message ironically mj bestest buddy movie girl michael jackson truly one talented people ever grace planet guilty well attention ve gave subject hmmm well know people different behind closed doors know fact either extremely nice stupid guy one sickest liars hope latter"
"2381_9",	1,	"classic war worlds timothy hines entertaining film obviously goes great effort lengths faithfully recreate h g wells classic book mr hines succeeds watched film appreciated fact standard predictable hollywood fare comes every year e g spielberg version tom cruise slightest resemblance book obviously everyone looks different things movie envision amateur critics look criticize everything others rate movie important bases like entertained people never agree critics enjoyed effort mr hines put faithful h g wells classic novel found entertaining made easy overlook critics perceive shortcomings"
"7759_3",	0,	"film starts manager nicholas bell giving welcome investors robert carradine primal park secret project mutating primal animal using fossilized dna like jurassik park scientists resurrect one nature fearsome predators sabretooth tiger smilodon scientific ambition turns deadly however high voltage fence opened creature escape begins savagely stalking prey human visitors tourists scientific meanwhile youngsters enter restricted area security center attacked pack large pre historical animals deadlier bigger addition security agent stacy haiduk mate brian wimmer fight hardly carnivorous smilodons sabretooths course real star stars astounding terrifyingly though convincing giant animals savagely stalking prey group run afoul fight one nature fearsome predators furthermore third sabretooth dangerous slow stalks victims movie delivers goods lots blood gore beheading hair raising chills full scares sabretooths appear mediocre special effects story provides exciting stirring entertainment results quite boring giant animals majority made computer generator seem totally lousy middling performances though players reacting appropriately becoming food actors give vigorously physical performances dodging beasts running bound leaps dangling walls packs ridiculous final deadly scene small kids realistic gory violent attack scenes films sabretooths smilodon following sabretooth james r hickox vanessa angel david keith john rhys davies much better bc roland emmerich steven strait cliff curtis camilla belle motion picture filled bloody moments badly directed george miller originality takes many elements previous films miller australian director usually working television tidal wave journey center earth many others occasionally cinema man snowy river zeus roxanne robinson crusoe rating average bottom barrel"
"3630_4",	0,	"must assumed praised film greatest filmed opera ever didn read somewhere either care opera care wagner care anything except desire appear cultured either representation wagner swan song movie strikes unmitigated disaster leaden reading score matched tricksy lugubrious realisation text questionable people ideas opera matter play especially one shakespeare allowed anywhere near theatre film studio syberberg fashionably without smallest justification wagner text decided parsifal bisexual integration title character latter stages transmutes kind beatnik babe though one continues sing high tenor actors film singers get double dose armin jordan conductor seen face heard voice amfortas also appears monstrously double exposure kind batonzilla conductor ate monsalvat playing good friday music way transcendant loveliness nature represented scattering shopworn flaccid crocuses stuck ill laid turf expedient baffles theatre sometimes piece imperfections thoughts think syberberg couldn splice parsifal gurnemanz mountain pasture lush provided julie andrews sound music sound hard endure high voices trumpets particular possessing aural glare adds another sort fatigue impatience uninspired conducting paralytic unfolding ritual someone another review mentioned bayreuth recording knappertsbusch though tempi often slow jordan altogether lacks sense pulse feeling ebb flow music half century orchestral sound set modern pressings still superior film"
"9495_8",	1,	"superbly trashy wondrously unpretentious exploitation hooray pre credits opening sequences somewhat give false impression re dealing serious harrowing drama need fear barely ten minutes later re necks nonsensical chainsaw battles rough fist fights lurid dialogs gratuitous nudity bo ingrid two orphaned siblings unusually close even slightly perverted relationship imagine playfully ripping towel covers sister naked body stare unshaven genitals several whole minutes well bo sister judging dubbed laughter doesn mind sick dude anyway kids fled russia parents nasty soldiers brutally slaughtered mommy daddy friendly smuggler took custody however even raised trained bo ingrid expert smugglers actual plot lifts years later re facing ultimate quest mythical incredibly valuable white fire diamond coincidentally found mine things life ever made little sense plot narrative structure white fire sure lot fun watch time clue beating cause bet actors understood even less whatever violence magnificently grotesque every single plot twist pleasingly retarded script goes totally bonkers beyond repair suddenly won reveal reason bo needs replacement ingrid fred williamson enters scene big cigar mouth sleazy black fingers local prostitutes bo principal opponent italian chick big breasts hideous accent preposterous catchy theme song plays least dozen times throughout film obligatory re falling love montage loads attractions god brilliant experience original french title translates life survive uniquely appropriate makes much sense rest movie none"
"8196_8",	1,	"dont know people think bad movie got pretty good plot good action change location harry hurt either sure offensive gratuitous movie like eastwood good form dirty harry liked pat hingle movie small town cop liked dirty harry see one lot better dead pool"
"7166_2",	0,	"movie could good comes way short cheesy special effects acting could looked past story wasn lousy background story would better plot centers around evil druid witch linked woman gets migraines movie drags never clearly explains anything keeps plodding christopher walken part completely senseless movie movie potential looks like really bad made tv movie would avoid movie"
"10633_1",	0,	"watched video friend house m glad waste money buying one video cover scene movie capricorn one movie starts several clips rocket blow ups related manned flight sibrel smoking gun short video clip astronauts preparing video broadcast edits voice instead letting us listen crew say video curiously ends showing zapruder film claims radiation shielding star photography others lead believe extremely ignorant sort ax grind nasa astronauts american general science bad video"
"319_1",	0,	"friend mine bought film even grossly overpriced despite featuring big names adam sandler billy bob thornton incredibly talented burt young film funny taking chisel hammering straight earhole uses tired bottom barrel comedic techniques consistently breaking fourth wall sandler talks audience seemingly pointless montages hot girls adam sandler plays waiter cruise ship wants make successful comedian order become successful women ship resident comedian shamelessly named dickie due unfathomable success opposite gender presumed lost sea sandler character shecker gets big break dickie dead rather locked bathroom presumably sea sick perhaps mouth vomited worst film time"
"8713_10",	1,	"movie full references like mad max ii wild one many others ladybug face clear reference tribute peter lorre movie masterpiece ll talk much future"
"2486_3",	0,	"happens army wetbacks towelheads godless eastern european commies gather forces south border gary busey kicks butts course another laughable example reagan era cultural fallout bulletproof wastes decent supporting cast headed l q jones thalmus rasulala"
"6811_10",	1,	"although generally like remakes believing remakes waste time film exception didn actually know far reading previous comment remake opinion purely actual film comparison story way written question capote need words play anthony edwards eric roberts superb seen movies one certain good actors case eric always wondered sister number famous star brother time certainty raised fact question play well play mr edwards clearly top profession recommend film top films see keep dvd shelves"
"11744_9",	1,	"mr harvey lights candle anchored brilliant performance timothy spall predict titular morose tight teacher sort break catharsis based deep secret past emotions unveiled surprising spall range feelings conveyed quite moving usually gets portray part mike leigh repertory expected boring school bus trip used comic purposes simpsons central situation visit salisbury cathedral rhidian brook script well contained structured dramatic purposes almost formally divided acts re introduced urban british range racially religiously diverse kids uniforms couldn tell private public school gather rapping black kids serious south asians muslims white bullies mean girls conveyed quite naturally individually young actors recognized british tv shameless exuberant representing usual range junior high social pressures celia imrie puts warmth supervisor role martinets usually play break trip leads transformative crisis others remain amusingly oblivious think like teacher portrayed ben miles coupling spoon fed didactic lesson religious tolerance much faith people well god bbc showed england easter time bbc america showed u christmas nathalie press also good summer love key role mr harvey redemption could played movie week preaching touching reach unexpected way unfortunately saw intense scene interrupted commercials bit heavy handed several times pointedly calling road trip pilgrimage quiet film best evocation good towards men ve seen holiday themed tv movies"
"7369_1",	0,	"feeling submerged one wouldn better right must looking champagne money care final product voice gets repeatedly dubbed stranger sounds nothing like editing well grade amateurish nothing b c grade movie enough money hire couple talented cameramen ok sound designer like previous poster said problems seem appear post production voice dubbing etc bad cause plot actually ok sg flick ll never rent another sg flick unless emails asking forgiveness bad miss kelly lebrock jimbo"
"12081_1",	0,	"note george litman others mystery science theater riff think breeder favorite riff looking like simply complete absurdity right well would say must give credit mst k crew trying ridicule tv movie really make much fun dialog bill good playwright hand production bad even would disown junior high school drama club could better would recommend buy book read hamlet"
"3561_4",	0,	"stephen king adaptation scripted king young family newcomers rural maine find pet cemetery close home father dale midkiff finds micmac burial ground beyond pet cemetery powers resurrection course anything buried comes back quite right average horror picture starts clumsy insulting inept continues way absolute worst element midkiff worthless performance gets little better toward end genuinely disturbing finale point fact whole movie really disturbing completely dismiss least something make memorable decent supporting performances fred gwynne wise old aged neighbor brad greenquist disfigured spirit victor pascow enough really redeem film king usual cameo minister followed sequel also directed mary lambert wonder mainstream film work since"
"4489_1",	0,	"matrix exciting summer blockbuster visually fantastic also curiously thought provoking twilight zone ish manner general rule applies sequel doesn match predecessor worse doesn even compare reloaded explodes onto screen un professional fashion opening seconds first impression generally good one trinity shot dream immediately film nose dives disastrous first minutes gradually gains momentum enter matrix agent smith battle takes place loses speed reaches minute car chase sequence gets even worse big groan worthy twist end worst overlong zion rave scene absolutely nothing plot also pathetic excuse porn depressive dance music bullet time aspect matrix good addition reloaded overuse make seem boring first one interesting plot turns linear remotely interesting movie basically series stylish diversions prevent us realising empty really works incorrect principle bigger better appears matrix franchise quickly descended special effects drenched misfire franchises star wars saga acting standard poor part best character course goes hugo weaving agent smith one slightly interesting keanu reeves definitive neo special effects little room make much impact academy award nominee laurence fishburne reduced monotonous mentor poor dialogue carrie ann moss part action chick could done much better actress poor thrown together movie matrix reloaded disappointment didn like first one unlikely flock one die hard fans even movie sub genre special effect bonanzas minority report matrix etc still rather poor imdb rating"
"3951_2",	0,	"ulli lommel film boogey man classic average low budget chiller worth look sequel boogey man ii ultimately waste time least entertaining one taken least bit seriously ii left door open another sequel one wouldn minded seeing least one one day browsing though videos store mall came across film entitled return boogey man found sequel earlier films happy shell bucks known better though opening title boogey man sequel two far superior films named well totally anyway pros ha laugh anything good hunk cow dung let see footage boogey man um mercifully short yeah cons start decisions decisions first movie total bore goes one scene next without anything remotely interesting scary happening acting stiff best actors likely friends director acting experience whatsoever probably none since plot nonexistent script shoddily written direction plain awful director tries make film look artsy fartsy making camera move around lights flicker filters adds nothing music dull hard hear parts ties original botched suzanna love character named lacey natalie events depicted beginning original take place also title mention happened ii finally adds nothing new interesting either series genre final thoughts people behind waste time money ashamed one thing original film director first sucked instead supposed sequel film masterpiece damn sure far interesting entertaining ever another sequel doubt needs forget one ever happened handled either lommel someone least idea make decent horror film rating"
"3304_10",	1,	"movie one among indian movies would never fade away passage time would spell binding appeal ever diminish even indian cinema transforms abyss artificially styled pop culture drill oriented extras take enhancing p styled film songs cinematography speaks excellent skills josef werching accentuate monumental cinema scope effect film entirety gone days great cinema every scene clipped many times retakes taken finalizing meticulous attention paid crafting editing scenes poignant scenes filled sublime emotional intensity like instance meena kumari refuses say yes approval nikah marriage bond climbs hill running berserk traumatized frenzy moment raj kumar follows strong gale wind blew away veil kumari onto legs kumar kamal amrohi shall always remembered golden words annals indian cinema history endeavoring complete movie record setting years manage filming vital songs without meena close ups meena kumari lady lead role terminally ill fighting life early"
"9352_10",	1,	"people especially young people may understand film looks like story loss actually story alone people may never feel loneliness level cheadles character johnson reflected total opposite sandlers character fineman johnson felt trapped blessings fineman trying forget life perspective jada wonderful additive cast sandler pulls tears cheadle comic role great supporter sandler see oscars somewhere fine film ever lost felt alone film assure re alone jerry"
"3374_7",	1,	"soylent green one best disturbing science fiction movies still persuasive even today standards although flawed little dated apocalyptic touch environmental premise typical time still feel unsettling thought provoking film quality level surpasses majority contemporary sf flicks strong cast intense sequences personally consider classic new york depressing place alive population unemployment unhealthy climate total scarcity every vital food product form food available synthetic distributed soylent company charlton heston great shape plays cop investigating murder one soylent eminent executives stumbles upon scandals dark secrets script little sentimental times climax doesn really come big surprise still atmosphere tense uncanny riot sequence truly grueling easily one macabre moments cinema edward g robinson ultimately impressive last role great modest supportive role joseph cotton baron blood abominable dr phibes science fiction book nightmarish inevitable fade humanity fancy space ships hairy monsters attacking planet"
"10782_7",	1,	"michael stearns plays mike sexually frustrated individual interesting moral attitude towards sexuality problem ogling naked dancers women start sex men loses believes women actually sex lose sense innocence beauty strolls hollywood hills stalking lovemaking couples distance ultimately shooting men dead high powered rifle scope seeming primary reason movie existence indulge sexual activity story comes afterthought bound make many happily heterosexual male quite pleased re treated enough protracted scenes nudity ladies look awfully good sans clothes sex serve major dose titillation course seeing fair deal scope ups creepiness factor considerably illustrates compulsion towards voyeurism one thing mike eyes couples scope minutes time finally pulling trigger underscored awfully intrusive somewhat atmospheric music soundtrack penchant lurid trash bound enjoy one degree another even includes one lesbian tryst confounds mike renders uncertain react unfolds slow pace wraps amusing ironic twist kinky twisted rarity nothing else going definitely keep viewers glued screen"
"5414_10",	1,	"happy go luck military swashbuckler based rather loosely rudyard kipling memorable poem well novel soldiers three qualifies first rate entertainment british imperial army india cary grant delivers knock blows knuckled fists movies put together set faraway india six fisted yarn dwells exploits three rugged british sergeants native water bearer gunga din sam jaffe contend bloodthirsty cult murderous indians called thuggee sergeant archibald cutter cary grant last outpost sergeant macchesney oscar winner victor mclaglen informer sergeant ballantine douglas fairbanks jr dawn patrol competitive trio hard drinking hard brawling fun loving alpha males whose years frolic become history ballantine plans marry emmy stebbins joan fontaine enter tea business naturally cutter macchesney drum assorted schemes derail ballentine plans superiors order back action sgt bertie higginbotham robert coote sheik steps cutter macchesney drug higginbotham cannot accompany ballantine replace half fun watching principals trying outwit without hating director george stevens celebrates spirit adventure grand style scope heroes tangle army thuggees lenser joseph h august received oscar nomination outstanding black white cinematography"
"10492_1",	0,	"would love two hours life back seemed several clips steve animal planet series spliced loosely constructed script go must see wait video"
"3350_3",	0,	"script movie probably found hair ball recently coughed really old dog mostly amateur film lame fx zeta jones fanatics credibility one mr binks"
"6581_7",	1,	"looking quo vadis local video store found version looked interesting wow amazing much ken russell kind film quirky stylized artistic course different nero presented much evil incarnate wacky unfulfilled emperor would rather circus career probably wondered earth put position leading empire wasn much fun fun longed klause maria bandaur tremendous time role played worth yes nero persecuted christians vengeance one many one point one henchmen murmurs one ever understand simply protecting got right"
"2203_3",	0,	"note mad scientists everywhere re going turn son genetically mutated monster need give scarier name paul care frightening hammerhead shark mouthful dagger sharp teeth ability ambush people water well dry land give kid worthy name like thor rock tiburon even eats probably sit laughing ha get load paul monster ripping shreds worst part movie shark thing referred paul throughout entire flick makes could decent scary horror movie seem silly aren campy contrived parts hammerhead shark frenzy scientists spend entire movie wandering along island sudden one girls starts itching madly walking lush forest pour water feet relive itching course allows paul come water kill one thing scifi channel right movie let hottie live small silver lining otherwise disappointing movie"
"689_1",	0,	"must without doubt biggest waste film settings camera ever know set expectations slasher high stupid true baught film still feel urge go claim money back imagine hard stinks violent killer film motivations well actually couldn possible care less makers piece garbage sure didn care didn try create tiny bit tension director stephen carpenter guess much easier find money name like also made kindred wich rather enjoyable recently soul survivors complete crap well least one eliza dushku junk debut daphne zuniga yeah right melrose place chick memorable character dies min opening credits second person die first victim dies directly first minute nobody seems mention miss afterwards cares rest actors deserve term actors actually completely uninteresting re hoping die quick painful death charactersmy humble opinion"
"9152_1",	0,	"intrigued synopsis every gay video days hunk cover necessarily construed good sign purchased ben arthur without knowing thing second assure last purchase culture q connection video far concerned dvd nothing blatant rip make observation lightly major collector videos gay mainstream state authority without hesitation ben arthur quite simply worst film ever sat life period collection boasts films dvd well gay lesbian themed hardly every gay movie ever made comfortable stating pretty much purchase almost every gay video interest gets released often buy videos without knowing anything film sometimes makes pleasant surprise aimee jaguar water urbania normal examples excellent gay titles stumbled upon accidentally read box ben arthur concerned conflict gay lovers christian right one favorite subjects decided take plunge sight unseen despite previously disappointing purchase another culture q connection title visions sugar plums film pretty bad compared ben arthur viewed like gone wind wrong ben arthur plenty begin plot totally ridiculous film almost made sympathetic christian right asked believe church would expel member brother gay priest would actually set mob style execution gay couple order save souls like even makes sense writing poor many scenes make sense several plot points reflect logic follow connection story murder violence seem acceptable ends gay activist right wing conflict sides acting bad difficult imagine anybody film got hired characters supposed straight almost without exception clearly gay nelly stereotypes boot gay characters neither sexy interesting film enough put anybody buying gay themed videos forever distributors ashamed advantage picture culture q connection purchase visions sugarplams one soundtrack clear dialogue hardly distinction since script insipid understanding script serves make aware bad film truly embarrassment queer culture intend warn everyone possibly waste money film would way overpriced understand soon re priced still highway robbery paid original price never felt cheated life true laugh connected drivel reviews seen user reviews film numerous websites always one two praise director writer actor way obvious reviewer friend ed wood wannabe sad desperate wish imdb would allow assign zero stars even minus zero ever film deserved"
"6077_1",	0,	"would anyone really watch rubbish didn contain little children running around nude cinematic point view probably one worst films encountered absolutely dire perv woke one day thought make film little girls call art stick countryside isn need story explanation got appear live anywhere parents p rn films need anything like would comment rest film haven ticked spoilers say avoid avoid avoid find proper film watch"
"4656_4",	0,	"unremarkable unmemorable remake old celebrated english film although may overly maligned total disaster never builds tension betrays tv origins richard burton sleepwalks role sophia loren closed movie face doesn display much passion either"
"9727_7",	1,	"simon pegg plays rude crude often control celebrity journalist brought england work big american magazine course winning ways create sorts complications amusing fact based comedy co stars kristen dunst looking rather grown danny huston jeff bridges works primarily like simon pegg despite bad behavior completely understand kristen dunst continues talk despite frequent screw ups liked film end nice way cap evening sitting couch watching movies"
"1297_8",	1,	"faithful adaptation witty interesting french novel cynical depressed middle aged software engineer something relying heavily first person narration none worse downbeat petit bourgeois sort way philosophical blackly humorous best way could describe film novel something like intellectual charles bukowski disrespect cb intended mordantly funny also bleak analysis social sexual relations film great achievement reflects real life recognisable way make ask aren films like one rare examples good book making equally good film"
"5586_8",	1,	"eva hedy lamarr got married older man honeymoon realizes husband desire disappointment marriage privation love makes eva returning father home farm leaving husband one afternoon bathing lake horse escapes clothes young worker retrieves gives back eva fall love become lovers later husband misses tries eva back home eva refuses fortune leads trio place ending affair tragic way watched extase first time first remark relative horrible quality vhs released brazil brazilian distributor video network movie minutes running time seems used different reels film parts totally damaged parts damaged therefore beauty images achieved brazilian viewer chance find rare vhs rental sale film practically silent movie story dated lines consequently characters badly developed however movie also daring exposure hedy lamarr beautiful breasts naked fat body present standards beauty another fantastic point poetic metaphoric used flowers symbolizing intercourse eva lover way director conducts scenes show needs privation eva clear non conclusive end also unusual movie liked movie hope one day chance see minutes restored version vote eight title brazil xtase ecstasy"
"1119_1",	0,	"even film allegedly joke response critics still awful film one going commit sort thing least make good joke first jeroen krabb guess poor man gerard depardieu naturally hate gerard depardieu even though funny iron mask three musketeer one otherwise box office poison jeroen krabb worse poor man box office poison really fair economically disenfranchised th man supposed sort critique bourgeoisie saying isn let say hypothetically supposed wasn sharp enough satire tricky thing isn sharp enough viewer becomes butt joke instead think happened story ends bunch miserable disgusting characters nothing anyone would care interesting way either interesting worthwhile application see luis bunuel film sharp satire potential spoiler alert really blow job cemetery jeroen krabb character works hard attain even care funny since mr voerhoven supposed good film maker give benefit doubt assume misanthropic joke got control though m guessing didn cast jeroen krabb worst actor every character played pretentious bourgeois ass except incompetent becomes like weird caricature think mr voerhoven purpose jeroen krabb butt joke well see understand dilemma m faced right worst film ever supposed good director kind dupery involved knew patch adams horrible without even seeing duped th man deceptively alluring packaging mr voerhoven reputation good director etc etc"
"11241_1",	0,	"looking eye candy may enjoy sky captain sky captain video game injected live performers visials nice interesting look entire movie saying visuals thing good sky captain ten minutes knew watching one worse movies time hoping movie would get better never achieved degree interest thirty minutes urge walk kept growing growing movies seen probably five times number yet second movie felt like walking entire life acting none three main performers pitiful jude law also movie wanted walk awful title role would rather sit ben affleck gigli watch law paltrow tries hard campy backfires face last article read said paltrow thinking staying home mother rather acting performance would applaud decision story soap operas better written story behind sky captain starts bad gets continually worse progresses directing none everything put special effects story acting directing suffer greatly even phantom menace better acting saying great deal would give movie avoid paying theatre prices wait video release"
"4005_10",	1,	"although one point thought going turn graduate say mother excellent job explaining sexual desires older woman m glad british film hollywood never would done even would ruined taking time develop characters story revealed slowly realistically acting superb characters believably flawed dialogue sensitive tried many times predict going happen always wrong intrigued story highly recommend movie must confess ll forever look mom different light"
"6827_4",	0,	"dumb dumb thoroughly uninteresting supposed black comedy essentially starts chris klein trying maintain low profile eventually morphs uninspired version three amigos without laughs order black comedy work must outrageous play dead order black comedy work cannot mean spirited play dead play dead really town full nut jobs fred dunst however pretty fair imitation billy bob thornton character simple plan jake busey pretty fair imitation well jake busey merk"
"9011_9",	1,	"found movie quite accident happy kenneth branagh performance came close stealing movie helena bonham carter strong chemistry together made much enjoyable movie movie brought mind excellent movies branagh made emma thompson carter star turn disabled young women seeking complete good performance seen female lead long time portraying disabled person hard pull basically eyes show pain situation life made believable movie come current wave movies beautiful women uglying roles charlize theron halle berry fell sure carter would strong consideration oscar run across movie cable late night trust worth lost sleep"
